[ 2016-08-03T08:34:19+08:00 ] /cghc_chinagas_com_cn/admin.php/Public/login/jumpUri/L2NnaGNfY2hpbmFnYXNfY29tX2NuL2FkbWluLnBocA | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 100 行.
[ 2016-08-03T08:34:19+08:00 ] /cghc_chinagas_com_cn/admin.php/Public/login/jumpUri/L2NnaGNfY2hpbmFnYXNfY29tX2NuL2FkbWluLnBocA | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-08-03T08:34:19+08:00 ] /cghc_chinagas_com_cn/admin.php/Public/login/jumpUri/L2NnaGNfY2hpbmFnYXNfY29tX2NuL2FkbWluLnBocA | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-08-03T08:34:19+08:00 ] /cghc_chinagas_com_cn/admin.php/Public/login/jumpUri/L2NnaGNfY2hpbmFnYXNfY29tX2NuL2FkbWluLnBocA | NOTIC: [2] Invalid argument supplied for foreach() functions.php 第 98 行.
[ 2016-08-03T08:34:19+08:00 ] /cghc_chinagas_com_cn/admin.php/Public/login/jumpUri/L2NnaGNfY2hpbmFnYXNfY29tX2NuL2FkbWluLnBocA | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-08-03T08:34:19+08:00 ] /cghc_chinagas_com_cn/admin.php/Public/login/jumpUri/L2NnaGNfY2hpbmFnYXNfY29tX2NuL2FkbWluLnBocA | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-08-03T08:34:19+08:00 ] /cghc_chinagas_com_cn/admin.php/Public/login/jumpUri/L2NnaGNfY2hpbmFnYXNfY29tX2NuL2FkbWluLnBocA | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-08-03T08:34:19+08:00 ] /cghc_chinagas_com_cn/admin.php/Public/login/jumpUri/L2NnaGNfY2hpbmFnYXNfY29tX2NuL2FkbWluLnBocA | NOTIC: [2] Invalid argument supplied for foreach() functions.php 第 98 行.
[ 2016-08-03T08:34:19+08:00 ] /cghc_chinagas_com_cn/admin.php/Public/login/jumpUri/L2NnaGNfY2hpbmFnYXNfY29tX2NuL2FkbWluLnBocA | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-08-03T08:34:19+08:00 ] /cghc_chinagas_com_cn/admin.php/Public/login/jumpUri/L2NnaGNfY2hpbmFnYXNfY29tX2NuL2FkbWluLnBocA | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-08-03T08:34:19+08:00 ] /cghc_chinagas_com_cn/admin.php/Public/verify | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 100 行.
